"Jahr","QuarSort","QuarLang","GbdArt1","GbdArt1n","AnzGeb","Rauminhalt","PersonenGT2","AnzWhg","WohnFl","PersInWhgGT2","KreisSort","KreisLang","GbdArt2","GbdArt2n","GbdArtPub","GbdArtPubName"
2018,21,"Wollishofen",241.1,"Bahngebäude",3,69932,7,1,110,7,2,"Kreis 2",241,"Gebäude des Nachrichtenwesens, Bahnhöfe",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",241.1,"Bahngebäude",3,69932,7,1,110,7,2,"Kreis 2",241,"Gebäude des Nachrichtenwesens, Bahnhöfe",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",2,67321,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2009,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",2,67321,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2010,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",2,67321,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2011,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",3,84,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2012,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",3,84,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2013,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",3,84,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2014,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",3,84,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2015,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",5,174,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2016,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",7,240,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2017,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",7,240,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2018,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",7,240,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2019,21,"Wollishofen",241.3,"Tram und Bus Wartehalle",7,240,".",0,0,".",2,"Kreis 2",274,"Sonstige Hochbauten",7,"Kleingebäude"
2008,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",212,35806,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2009,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",210,35693,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2010,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",209,35818,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2011,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",206,35173,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2012,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",205,35260,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2013,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",204,35345,6,0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2014,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",200,34607,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2015,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",196,35009,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2016,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",195,34576,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2017,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",196,34766,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2018,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",194,35255,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2019,21,"Wollishofen",242.1,"Garagen (1-9 Parkplätze)",195,35518,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",7,"Kleingebäude"
2008,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",53,138828,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",56,144672,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",56,148041,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",57,150499,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",59,162922,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",60,169758,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",63,175158,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2015,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",67,186923,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2016,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",69,197060,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2017,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",73,211733,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2018,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",76,287266,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",242.2,"Garagen (mehr als 9 Parkplätze)",76,308821,".",0,0,".",2,"Kreis 2",242,"Garagengebäude",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",251.1,"Industriegebäude",36,233320,14,6,374,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2009,21,"Wollishofen",251.1,"Industriegebäude",33,231011,11,6,374,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2010,21,"Wollishofen",251.1,"Industriegebäude",40,273840,10,6,374,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2011,21,"Wollishofen",251.1,"Industriegebäude",40,273840,10,5,351,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2012,21,"Wollishofen",251.1,"Industriegebäude",40,273840,12,5,351,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2013,21,"Wollishofen",251.1,"Industriegebäude",40,275554,12,7,390,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2014,21,"Wollishofen",251.1,"Industriegebäude",40,270300,13,7,390,13,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2015,21,"Wollishofen",251.1,"Industriegebäude",39,265743,14,7,390,13,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2016,21,"Wollishofen",251.1,"Industriegebäude",39,265743,13,7,390,13,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2017,21,"Wollishofen",251.1,"Industriegebäude",39,265741,9,7,390,9,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2018,21,"Wollishofen",251.1,"Industriegebäude",38,239331,8,7,390,8,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2019,21,"Wollishofen",251.1,"Industriegebäude",38,239316,10,7,390,10,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2008,21,"Wollishofen",251.2,"Werkstattgebäude",21,103623,64,1,80,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2009,21,"Wollishofen",251.2,"Werkstattgebäude",21,103592,64,1,80,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2010,21,"Wollishofen",251.2,"Werkstattgebäude",21,103592,60,1,80,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2011,21,"Wollishofen",251.2,"Werkstattgebäude",21,103590,60,1,80,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2012,21,"Wollishofen",251.2,"Werkstattgebäude",21,62440,3,1,80,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2013,21,"Wollishofen",251.2,"Werkstattgebäude",21,62440,3,1,80,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2014,21,"Wollishofen",251.2,"Werkstattgebäude",21,62440,3,1,80,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2015,21,"Wollishofen",251.2,"Werkstattgebäude",19,50670,4,1,80,4,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2016,21,"Wollishofen",251.2,"Werkstattgebäude",19,50670,3,1,80,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2017,21,"Wollishofen",251.2,"Werkstattgebäude",19,50592,3,1,80,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2018,21,"Wollishofen",251.2,"Werkstattgebäude",17,38885,3,1,80,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2019,21,"Wollishofen",251.2,"Werkstattgebäude",17,38879,3,1,80,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2008,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",29,184379,6,2,196,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2009,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",29,184379,5,2,196,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2010,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",26,183604,5,2,196,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2011,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",25,179514,5,2,206,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2012,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",25,179514,5,2,206,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2013,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",25,179674,6,2,206,".",2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2014,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",25,179679,6,2,206,6,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2015,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",22,173680,5,2,206,5,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2016,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",22,113862,3,1,106,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2017,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",23,114080,3,1,106,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2018,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",24,114245,3,1,106,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2019,21,"Wollishofen",251.9,"Übriges Gebäude für Industrie",24,114360,3,1,106,3,2,"Kreis 2",251,"Industriegebäude",5,"Produktions- und Lagergebäude"
2008,21,"Wollishofen",252.1,"Lager, Silo",35,154327,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2009,21,"Wollishofen",252.1,"Lager, Silo",35,154327,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2010,21,"Wollishofen",252.1,"Lager, Silo",35,153207,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2011,21,"Wollishofen",252.1,"Lager, Silo",32,151740,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2012,21,"Wollishofen",252.1,"Lager, Silo",35,154626,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2013,21,"Wollishofen",252.1,"Lager, Silo",35,154606,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2014,21,"Wollishofen",252.1,"Lager, Silo",35,156396,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2015,21,"Wollishofen",252.1,"Lager, Silo",27,98266,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2016,21,"Wollishofen",252.1,"Lager, Silo",27,96782,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2017,21,"Wollishofen",252.1,"Lager, Silo",27,96862,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2018,21,"Wollishofen",252.1,"Lager, Silo",27,96862,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2019,21,"Wollishofen",252.1,"Lager, Silo",26,77562,".",0,0,".",2,"Kreis 2",252,"Behälter, Silos, Lagergebäude",5,"Produktions- und Lagergebäude"
2008,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2015,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2016,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2017,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2018,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",261.1,"Theater-, Konzert- und Kinogebäude",1,13900,".",0,0,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,85,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,85,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,85,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2015,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2016,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2017,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2018,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",261.2,"Versammlungsgebäude, Mehrzweckhalle",4,8731,".",1,80,".",2,"Kreis 2",261,"Gebäude für Kultur- und Freizeitzwecke",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",263.1,"Schulhaus",13,109879,9,4,412,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",263.1,"Schulhaus",14,129787,8,5,566,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",263.1,"Schulhaus",14,130104,9,5,587,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",263.1,"Schulhaus",14,130104,8,3,396,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",263.1,"Schulhaus",15,131099,8,3,396,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",263.1,"Schulhaus",15,130656,6,3,396,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",263.1,"Schulhaus",15,130656,4,3,396,4,2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2015,21,"Wollishofen",263.1,"Schulhaus",16,133228,4,3,396,4,2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2016,21,"Wollishofen",263.1,"Schulhaus",16,133228,4,3,396,4,2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2017,21,"Wollishofen",263.1,"Schulhaus",17,135737,6,3,396,6,2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2018,21,"Wollishofen",263.1,"Schulhaus",18,138547,3,3,396,3,2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",263.1,"Schulhaus",18,139557,3,3,396,3,2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",263.2,"Hort, Kindergarten",6,10941,15,8,548,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",263.2,"Hort, Kindergarten",6,10941,13,8,548,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",263.2,"Hort, Kindergarten",6,10941,12,8,548,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",263.2,"Hort, Kindergarten",6,10941,9,8,548,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",263.2,"Hort, Kindergarten",6,10941,8,8,548,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",263.2,"Hort, Kindergarten",6,12118,7,8,548,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",263.2,"Hort, Kindergarten",5,9118,".",1,84,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2015,21,"Wollishofen",263.2,"Hort, Kindergarten",5,9118,".",1,84,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2016,21,"Wollishofen",263.2,"Hort, Kindergarten",5,9046,".",1,84,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2017,21,"Wollishofen",263.2,"Hort, Kindergarten",5,9046,".",1,84,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2018,21,"Wollishofen",263.2,"Hort, Kindergarten",8,19930,".",1,84,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",263.2,"Hort, Kindergarten",7,19574,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2015,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2016,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2017,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2018,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2019,21,"Wollishofen",263.3,"Hochschulgebäude",1,1740,".",0,0,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2008,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2009,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2010,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2011,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2012,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2013,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
2014,21,"Wollishofen",263.9,"Übriges Gebäude für Schulzwecke",1,2650,".",1,56,".",2,"Kreis 2",263,"Schul- und Hochschulgebäude, Forschungseinrichtungen",6,"Infrastrukturgebäude"
